description,total_sales
"white hanging heart t-light holder",24868.11
"edwardian parasol black",12107.9
"jumbo bag red white spotty",10019.1
"edwardian parasol red",9904.2
"assorted colour bird ornament",8932.88
"edwardian parasol natural",7973.85
"red/white dots ruffled umbrella",7884.25
"paper chain kit 50's christmas",7555.3
"scottie dog hot-water-bottle",7490.85
"white cherry lights",7398
"black/blue dots ruffled umbrella",7271.3
"hot-water-bottle tea and sympathy",6251.75
"red woolly hottie white heart.",6142.8
"tea time cake stand in gift box",5968.1
"red spot heart hot-water-bottle",5813.6
"pink/brown dots ruffled umbrella",5810.7
"chocolate hot-water-bottle",5317.5
"pink cherry lights",5298.35
"fairy-cake candles",5218.1
"strawberry ceramic trinket box",5020.18
